City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Broken Hill,AU,2021-02-04 17:54:31,-31.95,141.4333,71.6,46,85,11.5
258,Flin Flon,CA,2021-02-04 17:54:31,54.7682,-101.865,-5.8,77,75,9.22
259,Nyandoma,RU,2021-02-04 17:54:31,61.669,40.1991,11.86,97,96,3.62
260,Hatillo,PR,2021-02-04 17:54:31,18.4863,-66.8254,87.01,71,2,3.0
261,Chara,RU,2021-02-04 17:54:31,56.9064,118.2631,-13.41,81,96,0.25
262,Henties Bay,NA,2021-02-04 17:54:32,-22.116,14.2845,66.0,82,80,5.01
263,Kudahuvadhoo,MV,2021-02-04 17:54:32,2.6708,72.8944,82.17,75,100,15.75
264,Bihariganj,IN,2021-02-04 17:54:32,25.7333,86.9833,61.03,50,0,4.29
265,Birjand,IR,2021-02-04 17:54:32,32.8663,59.2211,33.8,15,0,4.61
266,Borogontsy,RU,2021-02-04 17:54:32,62.6683,131.1683,-45.36,76,13,3.24
267,Ixtapa,MX,2021-02-04 17:54:32,20.7,-105.2,77.0,44,1,3.44
268,Port Hardy,CA,2021-02-04 17:54:32,50.6996,-127.4199,39.2,100,90,4.61
269,Orel-Izumrud,RU,2021-02-04 17:54:32,43.4583,39.9244,53.6,54,90,4.47
270,Usinsk,RU,2021-02-04 17:54:33,65.9939,57.5281,-8.12,91,91,7.36
271,Nador,MA,2021-02-04 17:54:33,35.174,-2.9287,60.8,88,20,4.61
272,Chake Chake,TZ,2021-02-04 17:54:33,-5.2459,39.7666,79.02,79,10,10.38
273,Tefe,BR,2021-02-04 17:54:33,-3.3542,-64.7114,89.6,74,40,10.36
274,Deputatskiy,RU,2021-02-04 17:54:33,69.3,139.9,-15.9,91,99,4.47
275,Kibara,TZ,2021-02-04 17:54:33,-2.15,33.45,74.88,67,33,5.86
276,Togur,RU,2021-02-04 17:54:33,58.3631,82.8265,3.18,95,94,6.91
277,Biskamzha,RU,2021-02-04 17:54:33,53.4497,89.5272,7.65,92,70,4.45
278,Wilmington,US,2021-02-04 17:53:14,34.2257,-77.9447,50.0,27,1,3.44
279,Alekseyevka,RU,2021-02-04 17:54:34,50.6309,38.6903,38.46,96,100,9.28
280,Tuban,ID,2021-02-04 17:54:34,-6.8976,112.0649,77.86,85,97,11.68
281,Tadine,NC,2021-02-04 17:54:34,-21.55,167.8833,78.1,85,12,15.01
282,Riacho De Santana,BR,2021-02-04 17:54:34,-13.6092,-42.9389,90.41,42,19,3.0
283,Lagoa,PT,2021-02-04 17:54:34,39.05,-27.9833,54.91,70,54,26.42
284,Iringa,TZ,2021-02-04 17:54:34,-7.7667,35.7,71.6,68,40,4.61
285,Monrovia,LR,2021-02-04 17:54:34,6.3005,-10.7969,86.0,74,75,9.22
286,Leogane,HT,2021-02-04 17:54:34,18.5108,-72.6339,80.82,59,11,4.25
287,Ripky,UA,2021-02-04 17:54:34,51.801,31.0838,31.35,98,100,16.67
288,Sungaipenuh,ID,2021-02-04 17:52:17,-2.0833,101.3833,64.27,96,58,3.06
289,Ahipara,NZ,2021-02-04 17:52:42,-35.1667,173.1667,59.0,87,4,3.89
290,Nchelenge,ZM,2021-02-04 17:54:35,-9.3451,28.734,73.98,82,77,6.49
291,Vestmanna,FO,2021-02-04 17:54:35,62.1564,-7.1664,33.8,64,20,18.41
